sep=,
CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
9/26/2018,6:15:34.39 PM,10m 29.0s,629.0,40.01214027,-104.9512731,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Starting Motors,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,364,364,364,1563,1,False,False,False,False,False,0,False,False,False,False,,,,,15.567,False,3.895,3.889,3.891,3.892,0.006,False,False,,,,,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:34.60 PM,10m 29.3s,629.3,40.01214027,-104.9512731,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Starting Motors,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,364,364,364,1557,1,False,False,False,False,False,0,False,False,False,False,,,,,15.567,False,3.895,3.889,3.891,3.892,0.006,False,False,,,,,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:34.70 PM,10m 29.4s,629.4,40.0121403,-104.95127308,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Starting Motors,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,364,364,364,1557,1,False,False,False,False,False,0,False,False,False,False,,,,,15.567,False,3.895,3.889,3.891,3.892,0.006,False,False,,,,,,,,,,,,,Idle,,,True,,False,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.02 PM,10m 29.5s,629.5,40.01214029,-104.95127309,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Starting Motors,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,377,364,364,1053,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.558,False,3.895,3.889,3.891,3.892,0.006,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.12 PM,10m 29.8s,629.8,40.01214032,-104.95127307,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Starting Motors,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,555,364,364,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.558,False,3.895,3.889,3.891,3.892,0.006,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.34 PM,10m 29.9s,629.9,40.01214032,-104.95127307,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Starting Motors,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,692,364,364,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.513,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.44 PM,10m 30.0s,630.0,40.01214033,-104.95127306,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Starting Motors,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,1024,1024,796,967,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.513,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.55 PM,10m 30.1s,630.1,40.01214032,-104.95127306,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Manual Takeoff,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.513,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.65 PM,10m 30.2s,630.2,40.01214033,-104.95127305,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Manual Takeoff,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.513,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.75 PM,10m 30.3s,630.3,40.01214033,-104.95127305,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Manual Takeoff,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.513,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.85 PM,10m 30.4s,630.4,40.01214034,-104.95127305,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Manual Takeoff,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.513,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,5875.0,1506.40,,Idle,0,25,False,10,True,,Go Home,,,,,,False,,,False,False,False,False,0,False,False,False,,,,,Calm,,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
9/26/2018,6:15:35.96 PM,10m 30.5s,630.5,40.01214034,-104.95127305,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Manual Takeoff,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.551,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,6348.2,1627.75,,Idle,0,25,False,10,True,,Go Home,40.01216451,-104.95138762,33.2,4782.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,272.1,16.4,Calm,12,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,Data Recorder File Index is 12.,,
9/26/2018,6:15:36.06 PM,10m 30.6s,630.6,40.01214034,-104.95127304,0,0,0.3,5119,0,0,0,0,0,0,0,0,3.5,1.5,-5.9,354.1,Manual Takeoff,Other,Takeoff (RC Assisted),17,5,True,,Mavic 2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-34,326,False,False,False,False,False,True,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,54,,,,15.551,False,3.882,3.875,3.878,3.878,0.007,False,False,,,,,0,18,0,14,10,6348.2,1627.75,,Idle,0,25,False,10,True,,Go Home,40.01216451,-104.95138762,33.2,4782.1,393.7,True,1,1,False,False,False,False,0,False,False,False,Course Lock,98.4,272.1,16.4,Calm,12,Android, 4.3.0,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,378.4,4509.8,315.9,31.6,9.4,0,317,dronefo...-Mavic2,0M6DF73001HM9H,0K8HF6R001011M,0VELF8D00700S4,0P2AF7L534004D,,Android, 4.3.0,,,,,,
